entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,equity_at_entry,margin_at_entry,margin_req,elm_component,elm_raw,margin_util_pct
2024-10-01 09:15:00,2024-10-01 10:15:00,BULL_PUT,25897.35,25900,25400,105.0,9.4,127.75,9.44,95.6,118.31,-22.710000000000008,-4428.450000000002,138.1446405617,-4566.594640561701,Reversal,2024-10-03,0,False,False,300000,73376,80713,0,101000,24.5
2024-10-01 10:15:00,2024-10-01 12:15:00,BEAR_CALL,25801.1,25800,26300,116.0,6.45,123.1,5.75,109.55,117.35,-7.799999999999997,-1520.9999999999995,139.501855019,-1660.5018550189995,Reversal,2024-10-03,0,False,False,295433,73103,80413,0,100624,24.7
2024-10-01 12:15:00,2024-10-03 09:15:00,BULL_PUT,25836.8,25850,25350,88.1,5.75,300.95,33.6,82.35,267.34999999999997,-184.99999999999997,-36074.99999999999,155.047910492,-36230.047910491994,Reversal,2024-10-03,2,True,False,293773,73204,80525,0,100764,24.9
2024-10-03 09:15:00,2024-10-03 09:45:00,BEAR_CALL,25530.45,25550,26050,227.9,34.54,266.0,47.7,193.36,218.3,-24.939999999999998,-4863.299999999999,197.13478372820006,-5060.434783728199,Reversal,2024-10-10,0,False,True,257543,104249,114674,31913,99569,40.5
2024-10-03 09:45:00,2024-10-03 10:10:00,BULL_PUT,25619.4,25600,25100,134.5,33.95,167.75,42.0,100.55,125.75,-25.200000000000003,-4914.000000000001,161.004032066,-5075.004032066001,Reversal,2024-10-10,0,False,True,252482,104613,115074,32024,99916,41.4
2024-10-03 10:10:00,2024-10-04 09:50:00,BEAR_CALL,25528.9,25550,26050,207.0,30.95,74.9,10.4,176.05,64.5,111.55000000000001,21752.250000000004,163.9137541475,21588.336245852504,Reversal,2024-10-10,1,True,True,247407,104243,114667,31911,99563,42.1
2024-10-04 09:50:00,2024-10-04 12:35:00,BULL_PUT,25243.95,25250,24750,156.35,50.15,115.9,38.95,106.19999999999999,76.95,29.249999999999986,5703.749999999997,163.0800385505,5540.669961449497,Reversal,2024-10-10,0,False,False,268996,71525,78677,0,98451,26.6
2024-10-04 12:35:00,2024-10-07 14:45:00,BEAR_CALL,25291.45,25300,25800,276.25,51.15,36.65,6.35,225.1,30.299999999999997,194.8,37986.0,180.387736952,37805.612263048,Reversal,2024-10-10,3,True,False,274536,71659,78825,0,98637,26.1
2024-10-07 14:45:00,2024-10-09 13:15:00,BULL_PUT,24879.95,24900,24400,219.5,59.1,30.2,3.4,160.4,26.8,133.6,26052.0,163.98350648599998,25888.016493514,Reversal,2024-10-10,2,True,False,312342,70493,77543,0,97032,22.6
2024-10-09 13:15:00,2024-10-10 10:05:00,BEAR_CALL,25093.1,25100,25600,101.75,3.8,66.0,0.7,97.95,65.3,32.650000000000006,6366.750000000001,128.90793251750003,6237.842067482501,Reversal,2024-10-10,1,True,False,338230,71097,78207,0,97863,21.0
